Image Name: 1	
Slide Name: 160421_1	
Capture Date: 04/21/2016	
Capture Time: 14:48:56	
Plane	Time	Elapsed (ms)	G PMT (1)	G PMT (2)	G PMT (3)	G PMT (4)	G PMT (5)	G PMT (6)	G PMT (7)	G PMT (8)	G PMT (9)	G PMT (10)	G PMT (11)	G PMT (12)	G PMT (13)	G PMT (14)	G PMT (15)	G PMT (16)	G PMT (17)	G PMT (18)	
121	14:48:56	22231	1152.534	1262.750	578.571	554.933	787.056	595.786	623.500	598.292	481.833	716.400	1054.278	297.278	661.444	818.222	604.462	351.167	982.429	418.955	
122	14:48:56	22369	1112.224	1229.417	580.643	558.400	785.000	630.286	607.370	599.708	451.792	670.200	1040.111	306.944	688.611	784.722	645.115	285.278	967.071	425.409	
123	14:48:56	22507	1123.931	1348.208	572.714	584.567	737.444	670.857	606.848	557.583	492.042	685.100	1013.944	275.889	659.889	857.611	651.231	331.167	1053.714	413.500	
124	14:48:56	22645	1153.724	1328.250	546.857	552.467	819.667	658.786	663.109	572.875	496.125	698.900	1019.556	310.611	731.667	880.333	622.269	345.222	1046.429	422.909	
125	14:48:56	22784	1184.897	1306.583	558.214	551.000	813.056	657.929	632.978	521.833	477.500	696.500	956.722	277.000	597.389	846.167	643.654	322.111	1048.214	458.455	
126	14:48:56	22922	1135.259	1327.583	551.500	545.333	766.611	640.143	631.935	544.750	479.542	706.700	1023.111	297.278	631.667	782.778	638.692	295.889	993.786	430.955	
127	14:48:56	23060	1077.586	1260.167	571.643	541.333	774.778	596.643	618.522	538.000	475.083	607.700	1035.889	281.000	655.389	818.889	612.962	322.389	1009.214	418.773	
128	14:48:56	23199	1127.759	1304.917	556.286	576.300	754.278	617.643	663.435	516.208	486.208	684.900	976.278	274.778	615.444	839.000	612.269	322.889	941.000	415.409	
129	14:48:56	23337	1126.293	1330.667	615.071	538.200	782.111	633.143	653.370	521.125	444.750	670.900	1070.333	296.556	617.667	865.222	648.346	296.056	995.786	444.227	
130	14:48:56	23476	1122.276	1260.750	573.500	549.900	752.833	562.929	660.109	530.583	471.500	663.900	986.722	300.444	638.333	831.389	612.615	316.222	945.571	406.273	
131	14:48:56	23614	1035.259	1297.917	533.500	531.733	749.722	610.357	642.239	517.000	445.458	657.100	995.889	313.556	645.778	813.278	629.577	292.667	964.714	412.909	
132	14:48:56	23752	1047.655	1247.167	591.500	509.300	776.611	617.214	635.609	521.083	396.500	614.800	1045.000	261.500	595.500	841.111	640.462	298.444	997.643	427.682	
133	14:48:56	23890	1112.534	1305.167	587.643	541.667	775.833	653.643	655.913	549.667	427.792	733.600	1036.778	279.056	597.389	791.444	608.269	350.667	885.857	401.955	
134	14:48:56	24029	1133.034	1347.875	596.929	577.700	772.333	636.143	644.978	489.042	448.667	662.200	1042.389	301.500	675.889	821.333	612.923	315.611	941.429	402.591	
135	14:48:56	24167	1092.793	1322.875	532.643	597.833	758.389	592.286	683.500	487.000	448.375	675.900	1002.167	270.833	614.056	762.222	619.385	306.278	949.357	399.364	
